Sample	ANC IV
Comments	
Filename	C:\Users\SR\Desktop\KV257~1.18\ANCIV_~1.ASC
Goniometer	MiniFlex 300/600 +
Attachment	Standard Sample Holder
Monochromater	None
25.82	785
25.84	771.667
25.86	795
25.88	818.333
25.9	775
25.92	720
25.94	751.667
25.96	795
25.98	788.333
26	793.333
26.02	786.667
26.04	831.667
26.06	788.333
26.08	790
26.1	830
26.12	805
26.14	821.667
26.16	815
26.18	781.667
26.2	776.667
26.22	768.333
26.24	800
26.26	778.333
26.28	793.333
26.3	761.667
26.32	815
26.34	790
26.36	741.667
26.38	841.667
26.4	803.333
26.42	778.333
26.44	775
26.46	751.667
26.48	755
26.5	745
26.52	755
26.54	781.667
26.56	776.667
26.58	813.333
26.6	760
26.62	741.667
26.64	716.667
26.66	786.667
26.68	783.333
26.7	720
26.72	743.333
26.74	730
26.76	728.333
26.78	716.667
26.8	741.667
26.82	735
26.84	746.667
26.86	800
26.88	785
26.9	748.333
26.92	740
26.94	771.667
26.96	836.667
26.98	828.333
27	751.667
27.02	768.333
27.04	708.333
27.06	755
27.08	780
27.1	765
27.12	771.667
27.14	800
27.16	811.667
27.18	835
27.2	801.667
27.22	751.667
27.24	786.667
27.26	850
27.28	800
27.3	823.333
27.32	846.667
27.34	865
27.36	855
27.38	815
27.4	896.667
27.42	853.333
27.44	808.333
27.46	856.667
27.48	878.333
27.5	873.333
27.52	890
27.54	895
27.56	956.667
27.58	998.333
27.6	1108.33
27.62	1100
27.64	1161.67
27.66	1216.67
27.68	1175
27.7	1203.33
27.72	1235
27.74	1180
27.76	1206.67
27.78	1138.33
27.8	1076.67
27.82	1080
27.84	1015
27.86	1013.33
27.88	1023.33
27.9	1021.67
27.92	993.333
27.94	971.667
27.96	1001.67
27.98	956.667
28	943.333
28.02	990
28.04	983.333
28.06	926.667
28.08	895
28.1	906.667
28.12	885
28.14	828.333
28.16	975
28.18	881.667
28.2	841.667
28.22	861.667
28.24	890
28.26	873.333
28.28	890
28.3	913.333
28.32	838.333
28.34	766.667
28.36	838.333
28.38	901.667
28.4	908.333
28.42	798.333
28.44	871.667
28.46	866.667
28.48	823.333
28.5	800
28.52	805
28.54	838.333
28.56	823.333
28.58	801.667
28.6	898.333
28.62	896.667
28.64	841.667
28.66	850
28.68	843.333
28.7	833.333
28.72	841.667
28.74	866.667
28.76	856.667
28.78	815
28.8	815
28.82	821.667
28.84	830
28.86	858.333
28.88	885
28.9	833.333
28.92	848.333
28.94	808.333
28.96	821.667
28.98	796.667
29	848.333
29.02	856.667
29.04	860
29.06	861.667
29.08	861.667
29.1	760
29.12	818.333
29.14	843.333
29.16	853.333
29.18	796.667
29.2	856.667
29.22	840
29.24	860
29.26	846.667
29.28	793.333
29.3	833.333
29.32	831.667
29.34	853.333
29.36	855
29.38	851.667
29.4	850
29.42	950
29.44	901.667
29.46	900
29.48	930
29.5	933.333
29.52	946.667
29.54	951.667
29.56	963.333
29.58	865
29.6	870
29.62	888.333
29.64	910
29.66	866.667
29.68	855
29.7	870
29.72	838.333
29.74	906.667
29.76	875
29.78	911.667
29.8	893.333
29.82	861.667
29.84	863.333
29.86	873.333
29.88	861.667
29.9	868.333
29.92	833.333
29.94	870
29.96	846.667
29.98	825
30	905
30.02	908.333
30.04	911.667
30.06	925
30.08	870
30.1	871.667
30.12	880
30.14	905
30.16	938.333
30.18	943.333
30.2	936.667
30.22	915
30.24	831.667
30.26	895
30.28	958.333
30.3	915
30.32	936.667
30.34	968.333
30.36	943.333
30.38	880
30.4	885
30.42	885
30.44	885
30.46	930
30.48	913.333
30.5	891.667
30.52	913.333
30.54	946.667
30.56	915
30.58	965
30.6	886.667
30.62	880
30.64	906.667
30.66	918.333
30.68	961.667
30.7	948.333
30.72	940
30.74	928.333
30.76	1026.67
30.78	1011.67
30.8	996.667
30.82	978.333
30.84	925
30.86	1025
30.88	975
30.9	1028.33
30.92	1060
30.94	1016.67
30.96	1043.33
30.98	1065
31	1163.33
31.02	1085
31.04	1136.67
31.06	1153.33
31.08	1230
31.1	1193.33
31.12	1265
31.14	1331.67
31.16	1386.67
31.18	1445
31.2	1515
31.22	1448.33
31.24	1495
31.26	1611.67
31.28	1680
31.3	1725
31.32	1711.67
31.34	1726.67
31.36	1761.67
31.38	1783.33
31.4	1888.33
31.42	1846.67
31.44	1856.67
31.46	1895
31.48	1781.67
31.5	1805
31.52	1751.67
31.54	1765
31.56	1816.67
31.58	1775
31.6	1730
31.62	1700
31.64	1530
31.66	1611.67
31.68	1601.67
31.7	1575
31.72	1440
31.74	1486.67
31.76	1398.33
31.78	1436.67
31.8	1296.67
31.82	1300
31.84	1298.33
31.86	1325
31.88	1250
31.9	1185
31.92	1183.33
31.94	1186.67
31.96	1165
31.98	1041.67
32	1051.67
32.02	1113.33
32.04	1033.33
32.06	1018.33
32.08	988.333
32.1	1021.67
32.12	943.333
32.14	916.667
32.16	986.667
32.18	961.667
32.2	931.667
32.22	978.333
32.24	950
32.26	916.667
32.28	918.333
32.3	953.333
32.32	903.333
32.34	935
32.36	933.333
32.38	863.333
32.4	948.333
32.42	930
32.44	935
32.46	988.333
32.48	920
32.5	953.333
32.52	938.333
32.54	980
32.56	1016.67
32.58	970
32.6	988.333
32.62	943.333
32.64	916.667
32.66	883.333
32.68	876.667
32.7	891.667
32.72	940
32.74	960
32.76	971.667
32.78	1026.67
32.8	936.667
32.82	905
32.84	943.333
32.86	998.333
32.88	978.333
32.9	1028.33
32.92	1006.67
32.94	1031.67
32.96	1076.67
32.98	993.333
33	1060
33.02	1026.67
33.04	945
33.06	1010
33.08	1001.67
33.1	995
33.12	1048.33
33.14	1056.67
33.16	995
33.18	955
33.2	971.667
33.22	960
33.24	906.667
33.26	933.333
33.28	916.667
33.3	880
33.32	931.667
33.34	950
33.36	841.667
33.38	895
33.4	888.333
33.42	838.333
33.44	835
33.46	856.667
33.48	840
33.5	856.667
33.52	890
33.54	866.667
33.56	945
33.58	948.333
33.6	936.667
33.62	921.667
33.64	931.667
33.66	933.333
33.68	1033.33
33.7	1016.67
33.72	1048.33
33.74	1073.33
33.76	1123.33
33.78	1050
33.8	1023.33
33.82	1053.33
33.84	1038.33
33.86	1001.67
33.88	1061.67
33.9	1053.33
33.92	956.667
33.94	976.667
33.96	1143.33
33.98	1125
34	1186.67
34.02	1248.33
34.04	1280
34.06	1335
34.08	1343.33
34.1	1391.67
34.12	1333.33
34.14	1330
34.16	1240
34.18	1165
34.2	1168.33
34.22	1193.33
34.24	1103.33
34.26	1056.67
34.28	1018.33
34.3	1110
34.32	1125
34.34	1150
34.36	1141.67
34.38	1150
34.4	1123.33
34.42	1195
34.44	1096.67
34.46	1243.33
34.48	1093.33
34.5	1120
34.52	1165
34.54	1191.67
34.56	1173.33
34.58	1161.67
34.6	1261.67
34.62	1146.67
34.64	1241.67
34.66	1173.33
34.68	1151.67
34.7	1196.67
34.72	1080
34.74	1041.67
34.76	1056.67
34.78	910
34.8	926.667
34.82	921.667
34.84	846.667
34.86	868.333
34.88	848.333
34.9	848.333
34.92	791.667
34.94	823.333
34.96	830
34.98	876.667
35	841.667
35.02	811.667
35.04	788.333
35.06	921.667
35.08	848.333
35.1	856.667
35.12	798.333
35.14	858.333
35.16	915
35.18	865
35.2	861.667
35.22	888.333
35.24	826.667
35.26	853.333
35.28	825
35.3	853.333
35.32	866.667
35.34	913.333
35.36	816.667
35.38	783.333
35.4	910
35.42	903.333
35.44	848.333
35.46	815
35.48	818.333
35.5	876.667
35.52	890
35.54	876.667
35.56	776.667
35.58	816.667
35.6	793.333
35.62	906.667
35.64	850
35.66	801.667
35.68	811.667
35.7	780
35.72	828.333
35.74	813.333
35.76	798.333
35.78	771.667
35.8	813.333
35.82	868.333
35.84	821.667
35.86	858.333
35.88	808.333
35.9	880
35.92	795
35.94	818.333
35.96	780
35.98	776.667
36	808.333
36.02	805
36.04	768.333
36.06	870
36.08	815
36.1	823.333
36.12	798.333
36.14	896.667
36.16	865
36.18	811.667
36.2	861.667
36.22	905
36.24	826.667
36.26	860
36.28	835
36.3	753.333
36.32	843.333
36.34	898.333
36.36	793.333
36.38	775
36.4	851.667
36.42	865
36.44	826.667
36.46	796.667
36.48	740
36.5	761.667
36.52	790
36.54	815
36.56	825
36.58	875
36.6	830
36.62	831.667
36.64	865
36.66	806.667
36.68	891.667
36.7	850
36.72	813.333
36.74	860
36.76	865
36.78	810
36.8	801.667
36.82	818.333
36.84	823.333
36.86	801.667
36.88	813.333
36.9	870
36.92	805
36.94	801.667
36.96	828.333
36.98	836.667
37	813.333
37.02	828.333
37.04	875
37.06	833.333
37.08	808.333
37.1	781.667
37.12	760
37.14	768.333
37.16	776.667
37.18	763.333
37.2	741.667
37.22	808.333
37.24	730
37.26	758.333
37.28	755
37.3	775
37.32	825
37.34	733.333
37.36	771.667
37.38	815
37.4	731.667
37.42	773.333
37.44	725
37.46	748.333
37.48	793.333
37.5	808.333
37.52	765
37.54	721.667
37.56	785
37.58	770
37.6	835
37.62	718.333
37.64	796.667
37.66	833.333
37.68	750
37.7	690
37.72	796.667
37.74	791.667
37.76	693.333
37.78	761.667
37.8	756.667
37.82	840
37.84	741.667
37.86	713.333
37.88	721.667
37.9	726.667
37.92	751.667
37.94	813.333
37.96	751.667
37.98	763.333
38	770
38.02	748.333
38.04	796.667
38.06	723.333
38.08	803.333
38.1	751.667
38.12	816.667
38.14	775
38.16	710
38.18	751.667
38.2	763.333
38.22	770
38.24	760
38.26	775
38.28	766.667
38.3	718.333
38.32	791.667
38.34	843.333
38.36	770
38.38	836.667
38.4	930
38.42	811.667
38.44	895
38.46	836.667
38.48	893.333
38.5	876.667
38.52	858.333
38.54	873.333
38.56	841.667
38.58	890
38.6	858.333
38.62	963.333
38.64	868.333
38.66	898.333
38.68	970
38.7	883.333
38.72	973.333
38.74	921.667
38.76	820
38.78	915
38.8	970
38.82	953.333
38.84	928.333
38.86	961.667
38.88	883.333
38.9	945
38.92	885
38.94	928.333
38.96	858.333
38.98	896.667
39	940
39.02	878.333
39.04	890
39.06	788.333
39.08	816.667
39.1	831.667
39.12	908.333
39.14	921.667
39.16	806.667
39.18	860
39.2	821.667
39.22	810
39.24	821.667
39.26	776.667
39.28	830
39.3	780
39.32	810
39.34	780
39.36	740
39.38	843.333
39.4	808.333
39.42	805
39.44	878.333
39.46	855
39.48	831.667
39.5	828.333
39.52	875
39.54	868.333
39.56	830
39.58	796.667
39.6	846.667
39.62	805
39.64	778.333
39.66	840
